date,Target Station,MAE,MAPE,RMSE,MSE
date,Target Station,MAE,MAPE,RMSE,MSE,R2_score
28/01/2022 23:41:51,房山,25.838634,80.24975657463074,35.025763048767935,1226.8041,0.3871446619546747
date,Target Station,MAE,MAPE,RMSE,MSE,R2_score
28/01/2022 23:43:32,房山,14.048307,59.67976450920105,18.68611512427075,349.1709,0.8231107967919874
date,Target Station,MAE,MAPE,RMSE,MSE,R2_score
28/01/2022 23:46:13,房山,17.044163,153.45828533172607,21.196451372370092,449.28955,0.7723909056929416
date,Target Station,MAE,MAPE,RMSE,MSE,R2_score
28/01/2022 23:49:58,房山,26.114141,112.9090666770935,36.2902440267827,1316.9818,0.34209606616488963
date,Target Station,MAE,MAPE,RMSE,MSE,R2_score
28/01/2022 23:53:02,房山,8.122141,50.68437457084656,11.212365163887563,125.71713,0.9371974645019889
date,Target Station,MAE,MAPE,RMSE,MSE,R2_score
28/01/2022 23:54:57,天坛,8.775636,89.34519290924072,11.688582263143193,136.62296,0.9301510682912455
date,Target Station,MAE,MAPE,RMSE,MSE,R2_score
28/01/2022 23:59:45,房山,7.7096705,67.58971214294434,10.293806669522782,105.962456,0.9470659953724706
date,Target Station,MAE,MAPE,RMSE,MSE,R2_score
29/01/2022 00:01:38,天坛,9.031225,70.35829424858093,12.36549274257203,152.90541,0.9218266036314897
date,Target Station,MAE,MAPE,RMSE,MSE,R2_score
29/01/2022 00:05:52,房山,7.6579466,63.112854957580566,10.237326625897627,104.80286,0.9476452783745652
date,Target Station,MAE,MAPE,RMSE,MSE,R2_score
29/01/2022 00:12:16,房山,7.6579466,63.112854957580566,10.237326625897627,104.80286,0.9476452783745652
date,Target Station,MAE,MAPE,RMSE,MSE,R2_score
29/01/2022 00:18:59,房山,11.180688,84.0041995048523,13.895204971190827,193.07672,0.9035476875972771
date,Target Station,MAE,MAPE,RMSE,MSE,R2_score
29/01/2022 00:21:22,天坛,9.046186,50.33074617385864,12.44647904823859,154.91484,0.9207992758914544
date,Target Station,MAE,MAPE,RMSE,MSE,R2_score
29/01/2022 00:27:37,房山,8.469441,63.727617263793945,11.307894786257533,127.868484,0.9361227439255893
date,Target Station,MAE,MAPE,RMSE,MSE,R2_score
29/01/2022 00:31:05,天坛,7.717935,54.52051758766174,10.823637237401991,117.15112,0.9401061041305817
date,Target Station,MAE,MAPE,RMSE,MSE,R2_score
29/01/2022 00:39:21,房山,9.961379,59.433019161224365,13.362227856939922,178.54913,0.9106521278799525
date,Target Station,MAE,MAPE,RMSE,MSE,R2_score
29/01/2022 00:43:33,房山,8.140617,67.42579936981201,11.054528419239663,122.2026,0.9389531652313265
date,Target Station,MAE,MAPE,RMSE,MSE,R2_score
29/01/2022 00:53:08,房山,9.213489,52.22317576408386,12.293914554892913,151.14034,0.9234326396539463
date,Target Station,MAE,MAPE,RMSE,MSE,R2_score
29/01/2022 00:58:24,房山,8.187878,64.42103385925293,11.597691773269949,134.50645,0.931859325870814
date,Target Station,MAE,MAPE,RMSE,MSE,R2_score
29/01/2022 01:01:07,房山,10.714342,73.26691746711731,15.001337118951941,225.04012,0.8859951756937984
date,Target Station,MAE,MAPE,RMSE,MSE,R2_score
29/01/2022 01:03:04,房山,11.38828,70.77977657318115,15.523651290519522,240.98375,0.8779181597574894
date,Target Station,MAE,MAPE,RMSE,MSE,R2_score
29/01/2022 01:06:51,房山,10.014981,56.59811496734619,13.431452468190976,180.40392,0.9098784341801137
date,Target Station,MAE,MAPE,RMSE,MSE,R2_score
29/01/2022 01:08:44,房山,8.5336895,57.796746492385864,11.241268244970009,126.36611,0.936873260472719
date,Target Station,MAE,MAPE,RMSE,MSE,R2_score
29/01/2022 01:10:58,房山,7.522366,50.76029896736145,10.259817492551646,105.263855,0.9474149836949413
date,Target Station,MAE,MAPE,RMSE,MSE,R2_score
29/01/2022 01:13:25,天坛,6.6950583,40.34661054611206,9.800093078171264,96.041824,0.9508982986035245
date,Target Station,MAE,MAPE,RMSE,MSE,R2_score
29/01/2022 01:17:33,房山,12.834753,54.19113039970398,19.544816382153847,381.99985,0.8091703188582962
date,Target Station,MAE,MAPE,RMSE,MSE,R2_score
29/01/2022 01:28:49,房山,6.809659,52.26857662200928,9.877905309612158,97.57301,0.9512569746913263
date,Target Station,MAE,MAPE,RMSE,MSE,R2_score
29/01/2022 01:33:42,房山,6.6914916,51.60287618637085,9.796228609557003,95.966095,0.9520597219640266
date,Target Station,MAE,MAPE,RMSE,MSE,R2_score
29/01/2022 01:38:10,房山,9.70727,60.57561635971069,13.678817433781283,187.11005,0.906528366668272
date,Target Station,MAE,MAPE,RMSE,MSE,R2_score
29/01/2022 01:47:24,房山,11.132987,78.48318815231323,14.500067875144207,210.25197,0.8841174478019844
date,Target Station,MAE,MAPE,RMSE,MSE,R2_score
29/01/2022 02:03:54,房山,6.745265,47.65680134296417,9.322932806302953,86.917076,0.9520947516407857
date,Target Station,MAE,MAPE,RMSE,MSE,R2_score
29/01/2022 02:07:19,房山,5.910083,33.84375870227814,8.749625497705468,76.55595,0.9617561461024401
date,Target Station,MAE,MAPE,RMSE,MSE,R2_score
29/01/2022 02:09:14,天坛,8.383387,44.67710256576538,11.452131074710232,131.1513,0.932948463425337
date,Target Station,MAE,MAPE,RMSE,MSE,R2_score
29/01/2022 02:12:32,云岗,5.00692,24.929815530776978,7.5318590606452425,56.7289,0.9668776582311955
date,Target Station,MAE,MAPE,RMSE,MSE,R2_score
29/01/2022 02:14:35,东四环,6.5066347,50.00886917114258,9.199139131821061,84.62416,0.9652636715150503
date,Target Station,MAE,MAPE,RMSE,MSE,R2_score
29/01/2022 02:17:16,房山,6.232639,40.89564383029938,9.18541584898842,84.371864,0.9578516674689065
date,Target Station,MAE,MAPE,RMSE,MSE,R2_score
29/01/2022 02:19:17,天坛,7.5954676,37.30417490005493,11.020534422389783,121.45218,0.937907170664256
date,Target Station,MAE,MAPE,RMSE,MSE,R2_score
29/01/2022 02:22:28,云岗,5.9796715,29.807686805725098,8.654001763403802,74.89175,0.9562729046641592
date,Target Station,MAE,MAPE,RMSE,MSE,R2_score
29/01/2022 02:24:42,东四环,5.2177587,26.475250720977783,7.491082293922966,56.116314,0.9769655069406155
date,Target Station,MAE,MAPE,RMSE,MSE,R2_score
29/01/2022 02:26:34,官园,6.7290945,65.46859741210938,8.960459422867093,80.28983,0.9589922756438782
date,Target Station,MAE,MAPE,RMSE,MSE,R2_score
29/01/2022 02:27:39,东四,7.138639,47.26113677024841,10.31746595631726,106.4501,0.9507639461607208
date,Target Station,MAE,MAPE,RMSE,MSE,R2_score
29/01/2022 02:29:16,北部新区,6.7621746,54.138678312301636,9.650129928109493,93.12501,0.9431573397823015
date,Target Station,MAE,MAPE,RMSE,MSE,R2_score
29/01/2022 02:32:31,丰台花园,5.7092004,32.270023226737976,8.2282970371364,67.70487,0.968637204337965
date,Target Station,MAE,MAPE,RMSE,MSE,R2_score
29/01/2022 02:34:22,东高村,6.337973,39.04535174369812,9.73082040023456,94.688866,0.9451416416724846
date,Target Station,MAE,MAPE,RMSE,MSE,R2_score
29/01/2022 02:36:12,古城,6.6061735,31.310132145881653,9.337746621262038,87.19351,0.9527218868416256
date,Target Station,MAE,MAPE,RMSE,MSE,R2_score
29/01/2022 02:38:12,大兴,7.963879,51.23708248138428,11.072929681367782,122.60977,0.9490350715098672
date,Target Station,MAE,MAPE,RMSE,MSE,R2_score
29/01/2022 02:40:18,南三环,6.558532,22.449135780334473,10.240477441743783,104.86738,0.9604555293884759
date,Target Station,MAE,MAPE,RMSE,MSE,R2_score
29/01/2022 02:41:49,前门,10.324205,38.9181911945343,21.810032571088772,475.67752,0.816013437233448
date,Target Station,MAE,MAPE,RMSE,MSE,R2_score
29/01/2022 02:44:59,榆垡,9.94423,25.308361649513245,15.369034268797398,236.20721,0.9302013662993714
date,Target Station,MAE,MAPE,RMSE,MSE,R2_score
29/01/2022 02:47:58,琉璃河,9.797931,30.056369304656982,13.984699062236846,195.57181,0.9311403888959463
