date,hour,PM2_5,PM10,temp,humidity,CO,NO2,SO2
2021-12-25,23,95.0,101.0,22.78,68.845,0.42,0.0,0.0
2021-12-26,00,98.0625,105.29166666666667,22.70125,69.69270833333333,0.46541666666666665,0.0,0.0
2021-12-26,01,92.29166666666667,99.79166666666667,22.402083333333334,70.64895833333334,0.376875,0.0,0.0
2021-12-26,02,88.14583333333333,94.47916666666667,22.097083333333334,70.50270833333333,0.289375,0.0,0.0
2021-12-26,03,92.39583333333333,98.97916666666667,21.807708333333334,71.769375,0.31270833333333337,0.0,0.0
2021-12-26,04,91.4375,98.1875,21.551875,72.20166666666667,0.326875,0.0,0.0
2021-12-26,05,72.91836734693878,80.12244897959184,21.32061224489796,70.07448979591837,0.2814285714285715,0.0,0.0
2021-12-26,06,72.60416666666667,79.41666666666667,21.269583333333333,69.64520833333333,0.31645833333333334,0.0,0.0
2021-12-26,07,89.625,96.4375,21.489583333333332,70.59208333333333,0.41020833333333334,0.0,0.0
2021-12-26,08,94.29166666666667,101.97916666666667,21.6575,70.86,0.5522916666666666,0.0,0.0
2021-12-26,09,89.04081632653062,95.65306122448979,21.72673469387755,69.47163265306122,0.6034693877551021,0.0,0.0
2021-12-26,10,97.60416666666667,104.39583333333333,21.726041666666664,69.8925,0.6458333333333334,0.0,0.0
2021-12-26,11,98.57142857142857,105.85714285714286,20.978367346938775,72.89224489795919,0.623673469387755,0.0,0.0
2021-12-26,12,99.95833333333333,107.97916666666667,21.195,70.901875,0.56375,0.0,0.0
2021-12-26,13,98.875,106.60416666666667,21.867500000000003,67.02083333333333,0.5154166666666666,0.0,0.0
2021-12-26,14,95.24489795918367,101.9795918367347,21.030816326530612,68.44734693877551,0.5795918367346938,0.0,0.0
2021-12-26,15,90.375,96.58333333333333,20.420625,69.57916666666667,0.5954166666666667,0.0,0.0
2021-12-26,16,92.02083333333333,99.16666666666667,20.590208333333333,69.40166666666666,0.6002083333333333,0.0,0.0
2021-12-26,17,87.28571428571429,93.0204081632653,19.896938775510204,69.7704081632653,0.5846938775510204,0.0,0.0
2021-12-26,18,87.4375,93.14583333333333,18.761875,73.07270833333334,0.5364583333333334,0.0,0.0
2021-12-26,19,72.35416666666667,79.66666666666667,18.013125,71.88708333333334,0.47020833333333334,0.0,0.0
2021-12-26,20,53.666666666666664,66.1875,17.11916666666667,74.00770833333333,0.4366666666666667,0.0,0.0
2021-12-26,21,49.354166666666664,61.708333333333336,16.95895833333333,73.31958333333334,0.4183333333333333,0.0,0.0
2021-12-26,22,40.333333333333336,48.291666666666664,16.851458333333333,70.76354166666667,0.37041666666666667,0.0,0.0
2021-12-26,23,38.3125,46.083333333333336,16.577083333333334,70.98333333333333,0.32708333333333334,0.0,0.0
2021-12-27,00,30.666666666666668,34.833333333333336,16.272916666666667,69.41895833333334,0.274375,0.0,0.0
2021-12-27,01,24.979591836734695,26.877551020408163,15.841632653061225,68.56489795918367,0.236734693877551,0.0,0.0
2021-12-27,02,23.541666666666668,25.833333333333332,15.42375,68.335,0.22458333333333333,0.0,0.0
2021-12-27,03,21.979591836734695,23.591836734693878,15.055918367346939,67.60510204081633,0.21163265306122447,0.0,0.0
2021-12-27,04,23.5625,25.3125,14.812708333333333,67.47895833333332,0.21458333333333335,0.0,0.0
2021-12-27,05,11.666666666666666,12.666666666666666,14.444583333333334,67.71,0.228125,0.0,0.0
2021-12-27,06,9.875,10.625,14.643333333333333,67.201875,0.26916666666666667,0.0,0.0
2021-12-27,07,10.816326530612244,11.183673469387756,14.59326530612245,67.70244897959184,0.41714285714285715,0.0,0.0
2021-12-27,08,15.020833333333334,16.0,14.702083333333334,67.39208333333333,0.5022916666666667,0.0,0.0
2021-12-27,09,25.416666666666668,27.833333333333332,15.272291666666668,65.67729166666668,0.48270833333333335,0.0,0.0
2021-12-27,10,32.06122448979592,36.93877551020408,15.441836734693878,65.45122448979592,0.42673469387755103,0.0,0.0
2021-12-27,11,32.9375,38.229166666666664,15.874166666666667,64.41083333333333,0.4477083333333333,0.0,0.0
2021-12-27,12,33.041666666666664,38.3125,16.177291666666665,63.744166666666665,0.4116666666666667,0.0,0.0
2021-12-27,13,34.69387755102041,40.6530612244898,15.99469387755102,64.53877551020409,0.38020408163265307,0.0,0.0
2021-12-27,14,31.479166666666668,35.291666666666664,15.745208333333332,65.12125,0.39729166666666665,0.0,0.0
2021-12-27,15,28.729166666666668,31.541666666666668,15.572291666666667,65.26395833333333,0.38375000000000004,0.0,0.0
2021-12-27,16,27.75,30.35,15.37,66.5405,0.4525,0.0,0.0
2021-12-27,17,30.8,34.8,14.812000000000001,69.424,0.458,0.0,0.0
2021-12-27,20,41.416666666666664,50.416666666666664,14.449166666666668,68.90166666666666,0.3541666666666667,0.0,0.0
2021-12-27,21,44.354166666666664,54.458333333333336,14.653125000000001,67.36437500000001,0.34875000000000006,0.0,0.0
2021-12-27,22,42.90909090909091,53.27272727272727,14.356363636363636,68.09,0.32545454545454544,0.0,0.0
2021-12-27,23,41.095238095238095,50.642857142857146,13.839761904761904,68.86238095238095,0.2335714285714286,0.0,0.0
2021-12-28,00,38.895833333333336,47.104166666666664,13.537291666666667,70.185,0.2041666666666667,0.0,0.0
2021-12-28,01,48.833333333333336,61.0625,13.29125,71.60729166666667,0.20166666666666666,0.0,0.0
2021-12-28,02,42.041666666666664,51.8125,13.528333333333334,70.72041666666667,0.20333333333333334,0.0,0.0
2021-12-28,03,34.208333333333336,40.333333333333336,13.284791666666665,72.284375,0.18999999999999997,0.0,0.0
